var,word,meaning
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
British,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
American,must,root
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
British,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
American,must,epistemic
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
British,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
American,have to,root
British,have to,epistemic
British,have to,epistemic
American,have to,epistemic
American,have to,epistemic
American,have to,epistemic
American,have to,epistemic
American,have to,epistemic
American,have to,epistemic
American,have to,epistemic
American,have to,epistemic
American,have to,epistemic
